,comp_names,comp_ratings,comp_reviews,comp_salarys,comp_interviews,comp_jobss,comp_olds,comp_locations
0,TCS,3.8,72.4k,855k,5.9k,701,56 years old,Mumbai +335 more
1,Accenture,4.0,45.8k,584.7k,4.2k,6.2k,35 years old,Dublin +167 more
2,Cognizant,3.9,41.3k,560.4k,3.5k,578,30 years old,Teaneck. New Jersey. +155 more
3,Wipro,3.8,38.5k,427.6k,3.6k,372,79 years old,Bangalore/Bengaluru +270 more
4,HDFC Bank,3.9,33.5k,133.3k,1.5k,312,30 years old,Mumbai +1517 more
5,ICICI Bank,4.0,33.3k,143.3k,1.8k,228,30 years old,Mumbai +1271 more
6,Infosys,3.8,31.4k,463.3k,4.6k,1.1k,43 years old,Bengaluru/Bangalore +170 more
7,Capgemini,3.8,29.3k,372.4k,2.4k,724,57 years old,Paris +127 more
8,HCLTech,3.6,28.1k,291.9k,2.4k,489,33 years old,Noida +179 more
9,Tech Mahindra,3.7,27.3k,251.3k,2.4k,1.1k,38 years old,Pune +258 more
10,Genpact,3.9,25.9k,190.3k,1.9k,375,27 years old,New York +104 more
11,Axis Bank,3.8,21.8k,98.3k,1.1k,312,31 years old,Mumbai +1288 more
12,Teleperformance,3.6,21.7k,83.5k,1.2k,330,46 years old,Paris +175 more
13,Concentrix Corporation,3.9,21.5k,105k,1.1k,145,41 years old,Fremont +109 more
14,Amazon,4.1,20.6k,142k,3.3k,695,30 years old,Seattle +437 more
15,Reliance Jio,4.0,20.4k,67.4k,1.2k,145,17 years old,Navi Mumbai +1167 more
16,IBM,4.1,19.6k,222.7k,1.5k,4k,113 years old,Armonk +143 more
17,Reliance Retail,3.9,18.6k,59k,1.1k,256,18 years old,Navi Mumbai +982 more
18,Larsen & Toubro Limited,4.0,18.6k,78.8k,1k,175,86 years old,Mumbai +630 more
19,HDB Financial Services,4.0,18k,50.2k,570,53,17 years old,Ahmedabad +938 more
20,Vodafone Idea,4.2,15.3k,60.2k,430,333,6 years old,Mumbai +634 more
21,BYJU'S,3.1,14.4k,57.3k,1.8k,893,13 years old,Bangalore +302 more
22,Deloitte,3.9,14.3k,175.8k,1.6k,291,179 years old,London +153 more
23,Kotak Mahindra Bank,3.8,14.1k,78k,718,367,21 years old,Mumbai +562 more
24,Reliance Industries,4.0,13.6k,65.9k,919,38,47 years old,Navi Mumbai +663 more
25,Bharti Airtel,4.0,12.1k,44.1k,566,349,29 years old,Gurgaon/Gurugram +649 more
26,iEnergizer,4.6,11.9k,17.8k,303,92,24 years old,Noida +25 more
27,Tata Motors,4.2,11.1k,42.2k,737,36,79 years old,Pune +451 more
28,Flipkart,4.1,9.7k,46.6k,986,366,17 years old,Bangalore +530 more
29,WNS,3.5,9.6k,54.3k,702,128,28 years old,Mumbai +34 more
30,IndusInd Bank,3.7,9.1k,46.6k,411,345,30 years old,Gurgaon/Gurugram +676 more
31,Ernst & Young,3.6,8.8k,123.7k,743,1.8k,22 years old,London +97 more
32,AU Small Finance Bank,4.5,8.7k,18.3k,298,159,28 years old,Jaipur +400 more
33,Mahindra & Mahindra,4.2,8.6k,37.7k,461,94,79 years old,Mumbai +472 more
34,Infosys BPM,3.9,8.2k,58k,658,110,22 years old,Bangalore/Bengaluru +65 more
35,DXC Technology,3.8,8.2k,82.1k,553,113,7 years old,Minato +81 more
36,IDFC FIRST Bank,4.0,8k,40.1k,426,128,6 years old,Mumbai +572 more
37,Conneqt Business Solutions,3.7,7.6k,25.4k,309,331,22 years old,Mumbai +219 more
38,HDFC Life,4.1,7.6k,28.3k,413,137,24 years old,Mumbai +546 more
39,LTIMindtree,3.7,7.6k,95.2k,892,38,25 years old,Bangalore/Bengaluru +48 more
40,Bajaj Finserv,4.0,7.4k,24.9k,329,51,17 years old,Pune +861 more
41,Mphasis,3.5,6.9k,64.5k,471,80,26 years old,Bangalore/Bengaluru +47 more
42,PwC,3.6,6.8k,82.3k,768,1.2k,144 years old,London +90 more
43,Samsung,4.1,6.8k,26.3k,414,297,86 years old,Seoul +507 more
44,HSBC Group,4.1,6.7k,61.3k,352,23,22 years old,Pune +57 more
45,Hinduja Global Solutions,3.9,6.7k,25.6k,175,42,24 years old,Bangalore/Bengaluru +100 more
46,Startek,3.2,6.7k,22.8k,313,37,7 years old,Mumbai +70 more
47,Maruti Suzuki,4.2,6.6k,25.4k,438,26,43 years old,New Delhi +378 more
48,Ericsson,4.3,6.5k,45.1k,266,165,148 years old,Stockholm +147 more
49,Shriram Finance,4.1,6.5k,11k,227,5,45 years old,Mumbai +945 more
50,Asian Paints,4.0,6.3k,21.8k,458,50,82 years old,Mumbai +425 more
51,Yes Bank,3.9,6.3k,40.6k,289,36,20 years old,Mumbai +432 more
52,Cipla Pharmaceutical,4.1,6.1k,24.2k,350,48,89 years old,Mumbai +231 more
53,Dr. Reddy's,4.1,6k,23.9k,271,155,40 years old,Hyderabad/Secunderabad +158 more
54,Sutherland Global Services,3.7,5.9k,27.4k,359,221,38 years old,Pittsford +55 more
55,Bandhan Bank,3.8,5.8k,20.1k,365,38,23 years old,Kolkata +741 more
56,EXL Service,3.8,5.8k,37k,442,200,25 years old,New York City +44 more
57,UltraTech Cement,4.2,5.8k,21.3k,368,16,41 years old,Mumbai +427 more
58,Paytm,3.4,5.8k,30k,418,506,14 years old,Noida +307 more
59,NTT DATA,4.0,5.8k,52.3k,410,147,36 years old,Chiyoda City +53 more
60,ICICI Prudential Life Insurance,4.1,5.6k,22k,275,261,24 years old,Mumbai +446 more
61,TATA Steel,4.1,5.5k,25.3k,541,21,117 years old,Mumbai +168 more
62,Jana Small Finance Bank,3.8,5.5k,15.4k,177,96,18 years old,Bangalore/Bengaluru +346 more
63,Bajaj Finance,4.0,5.5k,19.1k,220,68,37 years old,Pune +762 more
64,Lupin,4.1,5.4k,22.5k,240,35,56 years old,Mumbai +163 more
65,Indian Army,4.7,5.4k,9.8k,120,--,129 years old,New Delhi +321 more
66,HCL Group,3.7,5.3k,69.5k,273,1,48 years old,Chennai +73 more
67,Udaan,4.0,5.2k,19.1k,300,290,8 years old,Bangalore +346 more
68,L&T Infotech,3.8,5.2k,74.1k,395,124,28 years old,Mumbai +82 more
69,ITC,3.9,5.2k,22.9k,399,73,49 years old,Kolkata +301 more
70,Quess,3.9,5.1k,23.2k,269,244,17 years old,Bangalore +511 more
71,Zydus Lifesciences,4.1,5.1k,18.1k,205,46,72 years old,Ahmedabad +148 more
72,Wells Fargo,4.0,5.1k,46.3k,310,122,172 years old,San Francisco +20 more
73,Delhivery,4.0,5.1k,16.8k,301,368,13 years old,Delhi +614 more
74,JP Morgan Chase,4.2,5k,72.4k,395,1.1k,24 years old,New York +31 more
75,Hindustan Unilever,4.2,4.9k,20.9k,244,230,152 years old,London +419 more
76,FIS,3.9,4.9k,39.3k,296,136,56 years old,Jacksonville +46 more
77,Amazon Development Centre India,4.2,4.8k,6.9k,362,30,N/A,Hyderabad / Secunderabad +72 more
78,IIFL Finance,3.9,4.7k,16.6k,200,118,29 years old,Mumbai +654 more
79,Hexaware Technologies,3.7,4.7k,45k,387,419,34 years old,Mumbai +42 more
80,JSW Steel,3.9,4.6k,24.4k,370,64,42 years old,Mumbai +141 more
81,Sun Pharmaceutical Industries,4.1,4.6k,20k,253,119,41 years old,Mumbai +195 more
82,Ujjivan Small Finance Bank,4.1,4.5k,12.5k,155,150,7 years old,Bangalore/Bengaluru +436 more
83,Muthoot Finance,3.6,4.4k,11.7k,176,473,85 years old,Kochi/Cochin +627 more
84,Max Life Insurance,4.2,4.4k,16.8k,203,457,24 years old,Gurgaon/Gurugram +389 more
85,Aurobindo Pharma,4.0,4.4k,22k,179,22,38 years old,Hyderabad/Secunderabad +89 more
86,Home Credit Finance,4.1,4.3k,11.1k,94,103,12 years old,Gurugram +113 more
87,KPMG India,3.6,4.3k,63.4k,493,486,37 years old,Bangalore / Bengaluru +76 more
88,Tata Projects,4.2,4.3k,19.4k,281,39,45 years old,Mumbai +235 more
89,Shapoorji Pallonji Group,4.2,4.3k,15.3k,242,30,159 years old,Mumbai +159 more
90,Oracle,3.9,4.3k,58.5k,505,253,47 years old,Austin +46 more
